GEOID,NAME,variable,estimate,moe,Zip Code
601,ZCTA5 00601,B12001_013,2952,294,00601
602,ZCTA5 00602,B12001_013,7350,481,00602
603,ZCTA5 00603,B12001_013,8928,456,00603
606,ZCTA5 00606,B12001_013,916,155,00606
610,ZCTA5 00610,B12001_013,5244,415,00610
612,ZCTA5 00612,B12001_013,10379,596,00612
616,ZCTA5 00616,B12001_013,1913,279,00616
617,ZCTA5 00617,B12001_013,4545,560,00617
622,ZCTA5 00622,B12001_013,1440,268,00622
623,ZCTA5 00623,B12001_013,6576,582,00623
624,ZCTA5 00624,B12001_013,4292,337,00624
627,ZCTA5 00627,B12001_013,6568,443,00627
631,ZCTA5 00631,B12001_013,308,83,00631
637,ZCTA5 00637,B12001_013,3957,390,00637
638,ZCTA5 00638,B12001_013,3046,248,00638
641,ZCTA5 00641,B12001_013,4867,360,00641
646,ZCTA5 00646,B12001_013,7174,485,00646
647,ZCTA5 00647,B12001_013,925,166,00647
650,ZCTA5 00650,B12001_013,2747,320,00650
652,ZCTA5 00652,B12001_013,513,116,00652
653,ZCTA5 00653,B12001_013,1706,184,00653
656,ZCTA5 00656,B12001_013,3149,273,00656
659,ZCTA5 00659,B12001_013,8213,570,00659
660,ZCTA5 00660,B12001_013,2596,297,00660
662,ZCTA5 00662,B12001_013,7662,554,00662
664,ZCTA5 00664,B12001_013,2298,389,00664
667,ZCTA5 00667,B12001_013,4473,443,00667
669,ZCTA5 00669,B12001_013,5199,333,00669
670,ZCTA5 00670,B12001_013,1763,216,00670
674,ZCTA5 00674,B12001_013,7173,439,00674
676,ZCTA5 00676,B12001_013,7539,512,00676
677,ZCTA5 00677,B12001_013,2467,294,00677
678,ZCTA5 00678,B12001_013,4938,505,00678
680,ZCTA5 00680,B12001_013,7527,529,00680
682,ZCTA5 00682,B12001_013,4585,441,00682
683,ZCTA5 00683,B12001_013,4994,372,00683
685,ZCTA5 00685,B12001_013,7652,600,00685
687,ZCTA5 00687,B12001_013,5552,458,00687
688,ZCTA5 00688,B12001_013,2341,231,00688
690,ZCTA5 00690,B12001_013,1091,245,00690
692,ZCTA5 00692,B12001_013,6006,664,00692
693,ZCTA5 00693,B12001_013,10272,665,00693
694,ZCTA5 00694,B12001_013,16,26,00694
698,ZCTA5 00698,B12001_013,5650,424,00698
703,ZCTA5 00703,B12001_013,4742,495,00703
704,ZCTA5 00704,B12001_013,1330,277,00704
705,ZCTA5 00705,B12001_013,3749,342,00705
707,ZCTA5 00707,B12001_013,1912,238,00707
714,ZCTA5 00714,B12001_013,3026,345,00714
715,ZCTA5 00715,B12001_013,562,155,00715
716,ZCTA5 00716,B12001_013,4441,363,00716
717,ZCTA5 00717,B12001_013,2137,230,00717
718,ZCTA5 00718,B12001_013,4147,436,00718
719,ZCTA5 00719,B12001_013,4930,439,00719
720,ZCTA5 00720,B12001_013,3269,273,00720
723,ZCTA5 00723,B12001_013,3064,328,00723
725,ZCTA5 00725,B12001_013,12799,806,00725
727,ZCTA5 00727,B12001_013,9430,620,00727
728,ZCTA5 00728,B12001_013,6881,455,00728
729,ZCTA5 00729,B12001_013,8586,537,00729
730,ZCTA5 00730,B12001_013,4691,403,00730
731,ZCTA5 00731,B12001_013,2564,339,00731
735,ZCTA5 00735,B12001_013,2362,289,00735
736,ZCTA5 00736,B12001_013,8156,460,00736
738,ZCTA5 00738,B12001_013,4884,428,00738
739,ZCTA5 00739,B12001_013,6287,456,00739
740,ZCTA5 00740,B12001_013,182,83,00740
741,ZCTA5 00741,B12001_013,952,176,00741
745,ZCTA5 00745,B12001_013,9220,610,00745
751,ZCTA5 00751,B12001_013,3581,369,00751
754,ZCTA5 00754,B12001_013,6526,430,00754
757,ZCTA5 00757,B12001_013,3535,388,00757
765,ZCTA5 00765,B12001_013,1135,267,00765
766,ZCTA5 00766,B12001_013,4228,279,00766
767,ZCTA5 00767,B12001_013,5418,492,00767
769,ZCTA5 00769,B12001_013,6427,412,00769
771,ZCTA5 00771,B12001_013,7197,637,00771
772,ZCTA5 00772,B12001_013,2764,255,00772
773,ZCTA5 00773,B12001_013,3494,340,00773
775,ZCTA5 00775,B12001_013,141,49,00775
777,ZCTA5 00777,B12001_013,6214,556,00777
778,ZCTA5 00778,B12001_013,8702,677,00778
780,ZCTA5 00780,B12001_013,1895,324,00780
782,ZCTA5 00782,B12001_013,2679,283,00782
783,ZCTA5 00783,B12001_013,6262,480,00783
784,ZCTA5 00784,B12001_013,6353,619,00784
786,ZCTA5 00786,B12001_013,43,48,00786
791,ZCTA5 00791,B12001_013,8495,552,00791
794,ZCTA5 00794,B12001_013,4586,373,00794
795,ZCTA5 00795,B12001_013,7760,497,00795
901,ZCTA5 00901,B12001_013,789,145,00901
906,ZCTA5 00906,B12001_013,6,9,00906
907,ZCTA5 00907,B12001_013,2672,316,00907
909,ZCTA5 00909,B12001_013,720,182,00909
911,ZCTA5 00911,B12001_013,890,187,00911
912,ZCTA5 00912,B12001_013,608,149,00912
913,ZCTA5 00913,B12001_013,616,107,00913
915,ZCTA5 00915,B12001_013,3203,342,00915
917,ZCTA5 00917,B12001_013,2123,254,00917
918,ZCTA5 00918,B12001_013,1917,325,00918
920,ZCTA5 00920,B12001_013,2447,235,00920
921,ZCTA5 00921,B12001_013,5097,453,00921
923,ZCTA5 00923,B12001_013,2843,388,00923
924,ZCTA5 00924,B12001_013,6682,520,00924
925,ZCTA5 00925,B12001_013,581,165,00925
926,ZCTA5 00926,B12001_013,17819,800,00926
927,ZCTA5 00927,B12001_013,2435,292,00927
934,ZCTA5 00934,B12001_013,0,14,00934
936,ZCTA5 00936,B12001_013,158,206,00936
949,ZCTA5 00949,B12001_013,12033,615,00949
950,ZCTA5 00950,B12001_013,0,14,00950
951,ZCTA5 00951,B12001_013,0,14,00951
952,ZCTA5 00952,B12001_013,1129,208,00952
953,ZCTA5 00953,B12001_013,13273,603,00953
956,ZCTA5 00956,B12001_013,12178,661,00956
957,ZCTA5 00957,B12001_013,7315,481,00957
959,ZCTA5 00959,B12001_013,8077,581,00959
960,ZCTA5 00960,B12001_013,2,5,00960
961,ZCTA5 00961,B12001_013,5250,411,00961
962,ZCTA5 00962,B12001_013,2610,244,00962
965,ZCTA5 00965,B12001_013,970,172,00965
966,ZCTA5 00966,B12001_013,2861,297,00966
968,ZCTA5 00968,B12001_013,587,122,00968
969,ZCTA5 00969,B12001_013,8012,491,00969
971,ZCTA5 00971,B12001_013,4270,419,00971
976,ZCTA5 00976,B12001_013,10776,533,00976
979,ZCTA5 00979,B12001_013,2461,366,00979
982,ZCTA5 00982,B12001_013,2156,252,00982
983,ZCTA5 00983,B12001_013,5735,453,00983
985,ZCTA5 00985,B12001_013,5234,432,00985
987,ZCTA5 00987,B12001_013,9904,543,00987
1001,ZCTA5 01001,B12001_013,3512,312,01001
1002,ZCTA5 01002,B12001_013,4133,281,01002
1003,ZCTA5 01003,B12001_013,16,20,01003
1005,ZCTA5 01005,B12001_013,1039,130,01005
1007,ZCTA5 01007,B12001_013,3592,210,01007
1008,ZCTA5 01008,B12001_013,349,54,01008
1009,ZCTA5 01009,B12001_013,68,59,01009
1010,ZCTA5 01010,B12001_013,902,99,01010
1011,ZCTA5 01011,B12001_013,358,50,01011
1012,ZCTA5 01012,B12001_013,121,28,01012
1013,ZCTA5 01013,B12001_013,3682,351,01013
1020,ZCTA5 01020,B12001_013,5999,409,01020
1022,ZCTA5 01022,B12001_013,261,96,01022
1026,ZCTA5 01026,B12001_013,185,38,01026
1027,ZCTA5 01027,B12001_013,3953,313,01027
1028,ZCTA5 01028,B12001_013,3550,229,01028
1029,ZCTA5 01029,B12001_013,159,56,01029
1030,ZCTA5 01030,B12001_013,2692,201,01030
1031,ZCTA5 01031,B12001_013,220,52,01031
1032,ZCTA5 01032,B12001_013,171,45,01032
1033,ZCTA5 01033,B12001_013,1514,149,01033
1034,ZCTA5 01034,B12001_013,621,73,01034
1035,ZCTA5 01035,B12001_013,1101,164,01035
1036,ZCTA5 01036,B12001_013,1269,116,01036
1037,ZCTA5 01037,B12001_013,150,58,01037
1038,ZCTA5 01038,B12001_013,801,101,01038
1039,ZCTA5 01039,B12001_013,249,54,01039
1040,ZCTA5 01040,B12001_013,5789,375,01040
1050,ZCTA5 01050,B12001_013,542,73,01050
1053,ZCTA5 01053,B12001_013,237,69,01053
1054,ZCTA5 01054,B12001_013,554,53,01054
1056,ZCTA5 01056,B12001_013,4809,239,01056
1057,ZCTA5 01057,B12001_013,1998,158,01057
1060,ZCTA5 01060,B12001_013,2351,204,01060
1062,ZCTA5 01062,B12001_013,2114,185,01062
1063,ZCTA5 01063,B12001_013,0,12,01063
1066,ZCTA5 01066,B12001_013,0,12,01066
1068,ZCTA5 01068,B12001_013,464,42,01068
1069,ZCTA5 01069,B12001_013,1940,216,01069
1070,ZCTA5 01070,B12001_013,157,27,01070
1071,ZCTA5 01071,B12001_013,316,46,01071
1072,ZCTA5 01072,B12001_013,318,41,01072
1073,ZCTA5 01073,B12001_013,1539,163,01073
1074,ZCTA5 01074,B12001_013,40,50,01074
1075,ZCTA5 01075,B12001_013,3259,254,01075
1077,ZCTA5 01077,B12001_013,2533,192,01077
1079,ZCTA5 01079,B12001_013,111,86,01079
1080,ZCTA5 01080,B12001_013,468,137,01080
1081,ZCTA5 01081,B12001_013,414,64,01081
1082,ZCTA5 01082,B12001_013,2207,216,01082
1083,ZCTA5 01083,B12001_013,680,200,01083
1084,ZCTA5 01084,B12001_013,46,19,01084
1085,ZCTA5 01085,B12001_013,8098,344,01085
1086,ZCTA5 01086,B12001_013,0,12,01086
1088,ZCTA5 01088,B12001_013,69,36,01088
1089,ZCTA5 01089,B12001_013,5333,316,01089
1092,ZCTA5 01092,B12001_013,193,132,01092
1093,ZCTA5 01093,B12001_013,96,30,01093
1094,ZCTA5 01094,B12001_013,49,35,01094
1095,ZCTA5 01095,B12001_013,3395,229,01095
1096,ZCTA5 01096,B12001_013,631,82,01096
1097,ZCTA5 01097,B12001_013,3,4,01097
1098,ZCTA5 01098,B12001_013,260,39,01098
1103,ZCTA5 01103,B12001_013,293,115,01103
1104,ZCTA5 01104,B12001_013,3156,341,01104
1105,ZCTA5 01105,B12001_013,1202,245,01105
1106,ZCTA5 01106,B12001_013,3943,177,01106
1107,ZCTA5 01107,B12001_013,1423,224,01107
1108,ZCTA5 01108,B12001_013,3729,354,01108
1109,ZCTA5 01109,B12001_013,3333,307,01109
1118,ZCTA5 01118,B12001_013,2746,244,01118
1119,ZCTA5 01119,B12001_013,2085,224,01119
1128,ZCTA5 01128,B12001_013,707,111,01128
1129,ZCTA5 01129,B12001_013,1435,161,01129
1151,ZCTA5 01151,B12001_013,1133,148,01151
1199,ZCTA5 01199,B12001_013,0,12,01199
1201,ZCTA5 01201,B12001_013,8390,399,01201
1220,ZCTA5 01220,B12001_013,1760,115,01220
1222,ZCTA5 01222,B12001_013,157,56,01222
1223,ZCTA5 01223,B12001_013,592,55,01223
1224,ZCTA5 01224,B12001_013,55,48,01224
1225,ZCTA5 01225,B12001_013,772,110,01225
1226,ZCTA5 01226,B12001_013,1395,177,01226
1229,ZCTA5 01229,B12001_013,11,13,01229
1230,ZCTA5 01230,B12001_013,1610,182,01230
1235,ZCTA5 01235,B12001_013,634,64,01235
1236,ZCTA5 01236,B12001_013,245,81,01236
1237,ZCTA5 01237,B12001_013,680,110,01237
1238,ZCTA5 01238,B12001_013,1346,185,01238
1240,ZCTA5 01240,B12001_013,1090,165,01240
1242,ZCTA5 01242,B12001_013,79,51,01242
1243,ZCTA5 01243,B12001_013,116,35,01243
1244,ZCTA5 01244,B12001_013,25,23,01244
1245,ZCTA5 01245,B12001_013,213,42,01245
1247,ZCTA5 01247,B12001_013,2731,225,01247
1253,ZCTA5 01253,B12001_013,211,39,01253
1254,ZCTA5 01254,B12001_013,274,39,01254
1255,ZCTA5 01255,B12001_013,186,35,01255
1256,ZCTA5 01256,B12001_013,161,34,01256
1257,ZCTA5 01257,B12001_013,458,99,01257
1258,ZCTA5 01258,B12001_013,80,33,01258
1259,ZCTA5 01259,B12001_013,149,39,01259
