GEOID,NAME,variable,estimate,moe,Zip Code
601,ZCTA5 00601,B07004H_006,NA,NA,00601
602,ZCTA5 00602,B07004H_006,NA,NA,00602
603,ZCTA5 00603,B07004H_006,NA,NA,00603
606,ZCTA5 00606,B07004H_006,NA,NA,00606
610,ZCTA5 00610,B07004H_006,NA,NA,00610
612,ZCTA5 00612,B07004H_006,NA,NA,00612
616,ZCTA5 00616,B07004H_006,NA,NA,00616
617,ZCTA5 00617,B07004H_006,NA,NA,00617
622,ZCTA5 00622,B07004H_006,NA,NA,00622
623,ZCTA5 00623,B07004H_006,NA,NA,00623
624,ZCTA5 00624,B07004H_006,NA,NA,00624
627,ZCTA5 00627,B07004H_006,NA,NA,00627
631,ZCTA5 00631,B07004H_006,NA,NA,00631
637,ZCTA5 00637,B07004H_006,NA,NA,00637
638,ZCTA5 00638,B07004H_006,NA,NA,00638
641,ZCTA5 00641,B07004H_006,NA,NA,00641
646,ZCTA5 00646,B07004H_006,NA,NA,00646
647,ZCTA5 00647,B07004H_006,NA,NA,00647
650,ZCTA5 00650,B07004H_006,NA,NA,00650
652,ZCTA5 00652,B07004H_006,NA,NA,00652
653,ZCTA5 00653,B07004H_006,NA,NA,00653
656,ZCTA5 00656,B07004H_006,NA,NA,00656
659,ZCTA5 00659,B07004H_006,NA,NA,00659
660,ZCTA5 00660,B07004H_006,NA,NA,00660
662,ZCTA5 00662,B07004H_006,NA,NA,00662
664,ZCTA5 00664,B07004H_006,NA,NA,00664
667,ZCTA5 00667,B07004H_006,NA,NA,00667
669,ZCTA5 00669,B07004H_006,NA,NA,00669
670,ZCTA5 00670,B07004H_006,NA,NA,00670
674,ZCTA5 00674,B07004H_006,NA,NA,00674
676,ZCTA5 00676,B07004H_006,NA,NA,00676
677,ZCTA5 00677,B07004H_006,NA,NA,00677
678,ZCTA5 00678,B07004H_006,NA,NA,00678
680,ZCTA5 00680,B07004H_006,NA,NA,00680
682,ZCTA5 00682,B07004H_006,NA,NA,00682
683,ZCTA5 00683,B07004H_006,NA,NA,00683
685,ZCTA5 00685,B07004H_006,NA,NA,00685
687,ZCTA5 00687,B07004H_006,NA,NA,00687
688,ZCTA5 00688,B07004H_006,NA,NA,00688
690,ZCTA5 00690,B07004H_006,NA,NA,00690
692,ZCTA5 00692,B07004H_006,NA,NA,00692
693,ZCTA5 00693,B07004H_006,NA,NA,00693
694,ZCTA5 00694,B07004H_006,NA,NA,00694
698,ZCTA5 00698,B07004H_006,NA,NA,00698
703,ZCTA5 00703,B07004H_006,NA,NA,00703
704,ZCTA5 00704,B07004H_006,NA,NA,00704
705,ZCTA5 00705,B07004H_006,NA,NA,00705
707,ZCTA5 00707,B07004H_006,NA,NA,00707
714,ZCTA5 00714,B07004H_006,NA,NA,00714
715,ZCTA5 00715,B07004H_006,NA,NA,00715
716,ZCTA5 00716,B07004H_006,NA,NA,00716
717,ZCTA5 00717,B07004H_006,NA,NA,00717
718,ZCTA5 00718,B07004H_006,NA,NA,00718
719,ZCTA5 00719,B07004H_006,NA,NA,00719
720,ZCTA5 00720,B07004H_006,NA,NA,00720
723,ZCTA5 00723,B07004H_006,NA,NA,00723
725,ZCTA5 00725,B07004H_006,NA,NA,00725
727,ZCTA5 00727,B07004H_006,NA,NA,00727
728,ZCTA5 00728,B07004H_006,NA,NA,00728
729,ZCTA5 00729,B07004H_006,NA,NA,00729
730,ZCTA5 00730,B07004H_006,NA,NA,00730
731,ZCTA5 00731,B07004H_006,NA,NA,00731
735,ZCTA5 00735,B07004H_006,NA,NA,00735
736,ZCTA5 00736,B07004H_006,NA,NA,00736
738,ZCTA5 00738,B07004H_006,NA,NA,00738
739,ZCTA5 00739,B07004H_006,NA,NA,00739
740,ZCTA5 00740,B07004H_006,NA,NA,00740
741,ZCTA5 00741,B07004H_006,NA,NA,00741
745,ZCTA5 00745,B07004H_006,NA,NA,00745
751,ZCTA5 00751,B07004H_006,NA,NA,00751
754,ZCTA5 00754,B07004H_006,NA,NA,00754
757,ZCTA5 00757,B07004H_006,NA,NA,00757
765,ZCTA5 00765,B07004H_006,NA,NA,00765
766,ZCTA5 00766,B07004H_006,NA,NA,00766
767,ZCTA5 00767,B07004H_006,NA,NA,00767
769,ZCTA5 00769,B07004H_006,NA,NA,00769
771,ZCTA5 00771,B07004H_006,NA,NA,00771
772,ZCTA5 00772,B07004H_006,NA,NA,00772
773,ZCTA5 00773,B07004H_006,NA,NA,00773
775,ZCTA5 00775,B07004H_006,NA,NA,00775
777,ZCTA5 00777,B07004H_006,NA,NA,00777
778,ZCTA5 00778,B07004H_006,NA,NA,00778
780,ZCTA5 00780,B07004H_006,NA,NA,00780
782,ZCTA5 00782,B07004H_006,NA,NA,00782
783,ZCTA5 00783,B07004H_006,NA,NA,00783
784,ZCTA5 00784,B07004H_006,NA,NA,00784
786,ZCTA5 00786,B07004H_006,NA,NA,00786
791,ZCTA5 00791,B07004H_006,NA,NA,00791
794,ZCTA5 00794,B07004H_006,NA,NA,00794
795,ZCTA5 00795,B07004H_006,NA,NA,00795
