"GEOID";"NAME";"variable";"estimate";"moe";"geometry"
"06037101110";"Census Tract 1011.10, Los Angeles County, California";"B12001_013";913;140;list(list(c(-118.300753, -118.300758, -118.297919, -118.291309, -118.288467, -118.286486, -118.284913, -118.28498, -118.285924, -118.287333, -118.291044, -118.299451, -118.302291, -118.300753, 34.259609, 34.263214, 34.263222, 34.262854, 34.26282, 34.262797, 34.262463, 34.255889, 34.255895, 34.255904, 34.255927, 34.255978, 34.258697, 34.259609)))
"06037101122";"Census Tract 1011.22, Los Angeles County, California";"B12001_013";828;126;list(list(c(-118.303195, -118.299696, -118.299749, -118.29697, -118.289899, -118.290225, -118.285616, -118.285271, -118.281666, -118.278953, -118.279483, -118.277285, -118.277422, -118.278125, -118.278167, -118.28498, -118.284913, -118.286486, -118.288467, -118.291309, -118.297919, -118.297917, -118.302753, -118.303195, 34.273334, 34.275262, 34.276706, 34.278807, 34.278946, 34.271, 34.270541, 34.266434, 34.266011, 34.266541, 34.26363, 34.26363, 34.259903, 34.257602, 34.255768, 34.255889, 34.262463, 34.262797, 34.26282, 34.262854, 34.263222, 34.266849, 34.272001, 34.273334)))
"06037101210";"Census Tract 1012.10, Los Angeles County, California";"B12001_013";1259;198;list(list(c(-118.299451, -118.291044, -118.287333, -118.285924, -118.285925, -118.285924, -118.287591, -118.28862, -118.290104, -118.291215, -118.294696, -118.297919, -118.299451, 34.255978, 34.255927, 34.255904, 34.255895, 34.252274, 34.248018, 34.248173, 34.248614, 34.249364, 34.250225, 34.252336, 34.254511, 34.255978)))
"06037101220";"Census Tract 1012.20, Los Angeles County, California";"B12001_013";742;105;list(list(c(-118.285924, -118.28498, -118.278167, -118.278224, -118.276916, -118.276915, -118.278224, -118.277611, -118.276103, -118.27975, -118.285924, -118.285925, -118.285924, 34.255895, 34.255889, 34.255768, 34.253291, 34.253084, 34.251582, 34.251657, 34.249589, 34.246484, 34.247663, 34.248018, 34.252274, 34.255895)))
"06037101300";"Census Tract 1013, Los Angeles County, California";"B12001_013";1048;166;list(list(c(-118.278224, -118.276915, -118.276916, -118.278224, -118.278167, -118.278125, -118.277422, -118.26529, -118.265238, -118.265264, -118.265295, -118.266672, -118.265999, -118.266016, -118.266024, -118.266733, -118.266803, -118.272473, -118.270685, -118.270474, -118.273615, -118.273907, -118.276295, -118.276103, -118.277611, -118.278224, 34.251657, 34.251582, 34.253084, 34.253291, 34.255768, 34.257602, 34.259903, 34.259954, 34.254617, 34.25238, 34.250402, 34.250779, 34.243892, 34.241535, 34.240356, 34.240796, 34.231235, 34.232527, 34.232995, 34.236937, 34.241304, 34.242918, 34.245152, 34.246484, 34.249589, 34.251657)))
"06037101400";"Census Tract 1014, Los Angeles County, California";"B12001_013";812;93;list(list(c(-118.322382, -118.316711, -118.312384, -118.307074, -118.306236, -118.30796, -118.307037, -118.305772, -118.302632, -118.300253, -118.300254, -118.299451, -118.297919, -118.294696, -118.291215, -118.290104, -118.28862, -118.287591, -118.285924, -118.27975, -118.276103, -118.276295, -118.273907, -118.273615, -118.270474, -118.270685, -118.272473, -118.280036, -118.28606, -118.290771, -118.298148, -118.300392, -118.302303, -118.308004, -118.31116, -118.316559, -118.319387, -118.321123, -118.322382, 34.249631, 34.248602, 34.248867, 34.248124, 34.251114, 34.252408, 34.2524, 34.252082, 34.252388, 34.252869, 34.255983, 34.255978, 34.254511, 34.252336, 34.250225, 34.249364, 34.248614, 34.248173, 34.248018, 34.247663, 34.246484, 34.245152, 34.242918, 34.241304, 34.236937, 34.232995, 34.232527, 34.23421, 34.234236, 34.234821, 34.23462, 34.235064, 34.235841, 34.239841, 34.241379, 34.242724, 34.244418, 34.246415, 34.249631)))
"06037102103";"Census Tract 1021.03, Los Angeles County, California";"B12001_013";468;65;list(list(c(-118.365326, -118.350663, -118.343352, -118.345878, -118.350159, -118.353789, -118.355623, -118.356402, -118.358115, -118.359691, -118.359213, -118.361797, -118.365326, 34.228703, 34.228503, 34.225875, 34.223195, 34.221364, 34.221412, 34.220033, 34.219607, 34.220931, 34.221554, 34.222386, 34.224965, 34.228703)))
"06037102104";"Census Tract 1021.04, Los Angeles County, California";"B12001_013";1032;264;list(list(c(-118.355623, -118.353789, -118.350159, -118.345878, -118.343352, -118.338059, -118.343913, -118.343891, -118.344121, -118.344195, -118.341153, -118.338239, -118.335599, -118.334845, -118.335218, -118.336417, -118.336032, -118.336929, -118.33774, -118.339813, -118.33993, -118.341347, -118.343007, -118.345523, -118.348501, -118.351842, -118.354397, -118.355051, -118.356402, -118.355623, 34.220033, 34.221412, 34.221364, 34.223195, 34.225875, 34.222275, 34.222301, 34.218555, 34.216998, 34.214103, 34.213766, 34.216754, 34.217674, 34.215514, 34.215383, 34.214568, 34.214309, 34.213387, 34.211271, 34.210942, 34.206503, 34.206527, 34.206557, 34.20973, 34.212309, 34.215147, 34.217346, 34.218068, 34.219607, 34.220033)))
"06037102105";"Census Tract 1021.05, Los Angeles County, California";"B12001_013";377;93;list(list(c(-118.35306, -118.351842, -118.348501, -118.345523, -118.343007, -118.34971, -118.350369, -118.353092, -118.35306, 34.213824, 34.215147, 34.212309, 34.20973, 34.206557, 34.206662, 34.206672, 34.208528, 34.213824)))
"06037102107";"Census Tract 1021.07, Los Angeles County, California";"B12001_013";862;141;list(list(c(-118.36777, -118.366452, -118.36092, -118.359445, -118.357469, -118.351326, -118.347838, -118.341007, -118.339444, -118.338209, -118.33319, -118.329998, -118.323808, -118.322382, -118.321123, -118.319387, -118.316559, -118.31116, -118.308004, -118.302303, -118.300392, -118.298148, -118.290771, -118.292037, -118.297249, -118.299165, -118.304507, -118.309385, -118.318031, -118.318046, -118.326586, -118.33547, -118.335235, -118.338492, -118.338059, -118.343352, -118.350663, -118.365326, -118.366475, -118.367123, -118.367582, -118.36777, 34.240369, 34.243021, 34.246764, 34.247116, 34.247053, 34.247332, 34.248479, 34.259285, 34.26024, 34.260316, 34.259487, 34.259677, 34.253081, 34.249631, 34.246415, 34.244418, 34.242724, 34.241379, 34.239841, 34.235841, 34.235064, 34.23462, 34.234821, 34.233878, 34.232604, 34.232613, 34.233704, 34.233493, 34.230466, 34.232079, 34.232206, 34.232027, 34.224491, 34.223343, 34.222275, 34.225875, 34.228503, 34.228703, 34.22992, 34.234213, 34.237255, 34.240369)))
